model,pr_auc,roc_auc,f1,precision,recall,tp,fp,fn,tn
RF Baseline,0.9955609684747271,0.9986704291563191,0.9879032258064516,0.9815705128205128,0.9943181818181818,1225,23,7,414307
RF Tuned,0.9951410115430309,0.9975563681907357,0.9967453213995118,0.9991843393148451,0.9943181818181818,1225,1,7,414329
