model,pr_auc,roc_auc,f1,precision,recall,tp,fp,fn,tn
Tuned RF (9 features),0.9951410115430309,0.9975563446822769,0.9967453213995118,0.9991843393148451,0.9943181818181818,1225,1,7,414329
Tuned RF (10 features),0.9951403553811428,0.99755443266096,0.9967453213995118,0.9991843393148451,0.9943181818181818,1225,1,7,414329
